filename,country,iso,lat,lng,fold,country_index,a,b,c,coarse,fine,combination_covered,combination_oracle_km,fine_oracle_km,nearest_prototype_oracle_km
000f2b81d53847fa840df9bd0d59f9cf.jpg,Poland,PL,51.659431,17.800406,0,9,77,115,179,59,184,True,15.000231443318308,28.06412332126434,15.000231443318308
000f306e85ea4f5ca0ba89e76b6d698b.jpg,Finland,FI,67.673233,24.221374,0,3,30,38,70,20,79,True,31.559309376207697,32.44874718801628,31.559309376207697
003e7647a298476f9a6d86b43aa613f3.jpg,United_Kingdom,GB,52.771584,-2.733232,0,5,44,70,94,33,114,True,44.79373976177255,95.37880305683825,44.793739761873155
0041ded3d11848a29e1b5f3e2a795dbb.jpg,Poland,PL,51.776288,21.16491,0,9,79,112,176,54,194,True,14.389841079737408,48.5886945043819,14.389841080050571
00440e61758940c089a060199d0820d0.jpg,United_Kingdom,GB,50.37843,-4.942082,0,5,40,60,91,30,102,True,26.627341321317058,27.109039764865443,26.627341321147817
004d6a54456c4568accb522ab7ef6736.jpg,Belarus,BY,53.483668,26.399052,0,0,0,11,17,5,11,True,18.500773082705678,29.946438542047336,18.500773083192833
004e2663dd664c728eee9b671633815d.jpg,Italy,IT,39.079642,8.418951,0,7,60,91,131,43,144,True,34.832160162603905,34.832160162603905,34.832160162603905
0050602ff67c4226940f39601ead69fd.jpg,Germany,DE,51.058411,14.616768,0,1,13,12,22,9,25,True,83.55023727887689,68.24940803507702,83.55023727887689
005658d1ba634559a38d1c7ebdbf7f21.jpg,Turkey,TR,39.125923,30.16177,0,11,94,139,207,70,220,True,41.9709485051003,76.52995815755982,41.97094850531504
007111be52084672b8eed21fa7298449.jpg,Poland,PL,50.379338,19.758415,0,9,72,119,177,55,189,True,51.0532776016345,53.91177547681628,51.0532776016345
0087f52cd0b9428b9b8f1576f3bf91f0.jpg,Spain,ES,39.351556,3.132722,0,2,21,33,39,12,42,True,23.365395425247584,24.02673070368166,23.365395425247584
00937a4d0d6b4653b84e010a74a70afb.jpg,Sweden,SE,55.735412,13.860623,0,10,86,123,184,65,212,True,14.63562347589241,14.63562347589241,14.63562347589241
00bf755ac0f84c9d90fc5a4f7ee74ba5.jpg,Sweden,SE,58.281304,12.745366,0,10,86,128,181,65,217,True,32.434318554427286,20.45877645903155,32.43431855456622
00d4d532911b4b98a169f0ea1b7a2c3d.jpg,Italy,IT,46.826268,11.935988,0,7,61,89,128,45,141,True,87.4396278105334,76.79757833138675,87.4396278105334
00e55fccb2f94dd5aa2e35eb423543da.jpg,United_Kingdom,GB,58.538793,-4.297489,0,5,42,67,92,32,109,True,13.331274047627257,39.10164494143042,13.331274048303317
01204bb1cc974cebb6b59957b76bc699.jpg,Germany,DE,51.46135,14.74825,0,1,13,12,22,9,25,True,60.17289934870966,41.67813153503791,60.17289934870966
013dab95aed1425185b471f4ec69f0ca.jpg,Sweden,SE,57.972152,16.238288,0,10,80,121,196,63,216,True,11.762075899404598,40.20355239939418,11.762075899787725
01615a38a6d54005a77a7aef896b5b9c.jpg,Italy,IT,40.534118,17.482498,0,7,59,90,142,46,147,True,31.133813224104095,31.133813224248836,31.133813224248836
018a7fe033084603bd87c0a255fcd5a4.jpg,United_Kingdom,GB,57.5645,-4.440971,0,5,47,61,104,32,118,True,71.04806817642955,28.087202428990043,31.572039277037714
01b8c8b205c6494d998861669217921a.jpg,Sweden,SE,56.885884,14.229187,0,10,86,123,187,65,215,True,51.66239944946048,83.85618008272994,51.66239944946048
01e3915d80cb4799942e0d86839d45b5.jpg,Norway,NO,70.176525,23.895657,0,8,64,104,158,50,162,True,57.97337819782085,25.42844855793683,57.97337819782085
01eab2f6b6bc415b96db6aa460c5b7bf.jpg,Finland,FI,63.123632,22.698514,0,3,29,39,61,23,66,True,39.92060153977034,19.841492552207384,39.92060153977034
022f1af55c6443ac9bd4462ec77c28c5.jpg,Norway,NO,65.832434,14.891018,0,8,70,98,147,52,167,True,3.6187291627621407,113.32652473437186,3.6187291627621407
024f8bbb735344c2a20ba35ebbd04a04.jpg,Iceland,IS,65.364323,-14.850339,0,6,50,79,114,40,138,True,5.396840892050695,21.060310342554576,5.396840892050695
0286769eb75846c3b56da0fd12ea2c0a.jpg,Sweden,SE,61.664889,16.058077,0,10,87,125,186,62,211,True,55.27770215953364,47.663034068920005,25.937896906744665
029301fc439f441b8ae3069a8cde8bd8.jpg,United_Kingdom,GB,52.122193,1.350357,0,5,46,63,90,35,100,True,63.53823917749156,25.32043253402924,63.53823917749156
029e81ada9364b89aa7de702cf506c14.jpg,Germany,DE,51.044009,11.542572,0,1,8,21,29,11,26,True,38.42890176852639,69.88133720512205,38.428901768760916
02bd464c45204d89b79820055f487f68.jpg,Germany,DE,49.734777,11.693424,0,1,8,16,24,11,37,True,45.09352935434619,54.017254338026646,45.093529354446126
02c6013afbed4707a6b0c5bfd58bba2c.jpg,Finland,FI,67.674354,24.220713,0,3,30,38,70,20,79,True,31.466173616308673,32.353237412339816,31.466173616308673
02c6972865ba4b38911fad8198854591.jpg,Italy,IT,39.046161,8.424981,0,7,60,91,131,43,144,True,35.2814055900892,35.2814055900892,35.2814055900892
02cd0122233b4402b3fcfd4894ef09e9.jpg,Iceland,IS,64.845934,-13.78368,0,6,50,76,114,40,130,True,26.098816711898785,10.366930819627694,26.098816711898785
02e0c2065d3449feacb4b0b81eb6e89e.jpg,Norway,NO,58.999442,6.087284,0,8,65,107,149,48,177,True,55.447320857887156,55.07371267432659,21.808919778455817
