fold,partition,iso,country_index,local_label,global_label,lat,lng,training_count
4,a,BY,0,0,0,54.29595750770352,26.220054744859347,61
4,a,BY,0,1,1,54.96942955384383,30.059452412630595,88
4,a,BY,0,2,2,53.36476099293131,30.366704690944005,121
4,a,BY,0,3,3,55.58003804382611,28.533021227990442,108
4,a,BY,0,4,4,52.0556652061326,30.053737562843487,109
4,a,BY,0,5,5,52.638750119384774,24.949337325332156,78
4,a,BY,0,6,6,52.292891747181976,27.313284184606616,59
4,a,BY,0,7,7,53.72917538135417,27.914670744040546,68
4,b,BY,0,0,0,52.47558527096208,30.952229069725227,54
4,b,BY,0,1,1,55.01987621574096,30.174347846076877,79
4,b,BY,0,2,2,53.40090362919414,25.00253628861257,27
4,b,BY,0,3,3,54.3897829797972,28.48833118207681,42
4,b,BY,0,4,4,52.20042495416835,27.36326553376824,47
4,b,BY,0,5,5,53.01963825275527,29.423339124262547,55
4,b,BY,0,6,6,53.38083655904943,27.24719529130087,47
4,b,BY,0,7,7,53.696335073863416,30.80175744298198,64
4,b,BY,0,8,8,55.64708459530671,28.574052523029554,98
4,b,BY,0,9,9,52.36959802603006,25.02137583670959,59
4,b,BY,0,10,10,54.493924008389186,26.35847667341971,53
4,b,BY,0,11,11,51.85991803545852,29.501872827076205,67
4,c,BY,0,0,0,55.33155841566008,29.1234177706663,50
4,c,BY,0,1,1,53.37036727340926,27.233107756931894,46
4,c,BY,0,2,2,51.867418897262446,30.212537399680414,27
4,c,BY,0,3,3,54.36468065974014,26.21388269332752,42
4,c,BY,0,4,4,52.20438982763021,27.436942330522225,42
4,c,BY,0,5,5,52.32574306452027,24.102546922787393,21
4,c,BY,0,6,6,52.335618852076045,31.146955964368985,34
4,c,BY,0,7,7,52.36756083862776,25.606188945111708,42
4,c,BY,0,8,8,53.05473347301156,29.31036033081702,44
4,c,BY,0,9,9,55.83319705613406,28.493510706129634,60
4,c,BY,0,10,10,54.329869204082826,28.423011056790692,41
4,c,BY,0,11,11,53.40090362919414,25.00253628861257,27
4,c,BY,0,12,12,54.95179083348456,30.314829263599897,63
4,c,BY,0,13,13,52.94150109822485,30.449195842036602,29
4,c,BY,0,14,14,53.62986511536931,31.58956130243985,21
4,c,BY,0,15,15,55.11695707150626,27.26383666153912,17
4,c,BY,0,16,16,53.77840033065742,30.403451763693212,39
4,c,BY,0,17,17,51.912337978883485,29.136562897214617,47
4,coarse,BY,0,0,0,52.54664280554188,27.510270445509306,77
4,coarse,BY,0,1,1,55.43540978305933,29.058002202955016,164
4,coarse,BY,0,2,2,52.363781826668735,30.007707457509607,164
4,coarse,BY,0,3,3,52.62101680945743,24.992121654429276,81
4,coarse,BY,0,4,4,53.964969376052125,30.635182606085525,95
4,coarse,BY,0,5,5,54.18247645351625,26.97160462027121,111
4,fine,BY,0,0,0,54.73237269221096,26.360339224786436,33
4,fine,BY,0,1,1,53.62986511536931,31.58956130243985,21
4,fine,BY,0,2,2,52.20438982763021,27.436942330522225,42
4,fine,BY,0,3,3,52.268444630851675,31.225842596006828,27
4,fine,BY,0,4,4,54.05467723643608,26.49902735476464,24
4,fine,BY,0,5,5,55.331592228268526,29.000792138336877,42
4,fine,BY,0,6,6,51.867418897262446,30.212537399680414,27
4,fine,BY,0,7,7,52.85810182272706,30.620534518258697,31
4,fine,BY,0,8,8,53.04638335330259,29.374372729145954,49
4,fine,BY,0,9,9,54.577180987913735,30.42162784836443,25
4,fine,BY,0,10,10,52.36756083862776,25.606188945111708,42
4,fine,BY,0,11,11,53.30610245338153,27.41275997815658,35
4,fine,BY,0,12,12,54.334632753948625,28.450025299053777,40
4,fine,BY,0,13,13,53.52622819954584,24.099799010952427,11
4,fine,BY,0,14,14,55.765198930118025,28.422148765961094,67
4,fine,BY,0,15,15,51.912337978883485,29.136562897214617,47
4,fine,BY,0,16,16,53.347252885085574,25.839966872371004,23
4,fine,BY,0,17,17,52.32574306452027,24.102546922787393,21
4,fine,BY,0,18,18,53.77840033065742,30.403451763693212,39
4,fine,BY,0,19,19,55.221138071407786,30.16086669345755,46
4,a,DE,1,0,8,53.84084606984235,9.229317016225606,115
