fold,iso,a,b,c,lat,lng,training_count
2,BY,0,3,9,53.04104600000001,26.254607999999998,1
2,BY,0,7,9,52.43830894122916,25.486591449572934,27
2,BY,0,7,14,52.34337721349194,24.230910595229865,23
2,BY,0,8,9,53.07136953671683,25.675816503214936,11
2,BY,0,8,16,53.563733730609364,24.1463886672821,11
2,BY,1,5,1,51.84924607169011,29.18754426894042,48
2,BY,1,5,15,51.77104757738292,30.199878614600063,19
2,BY,1,9,4,52.60742695189774,29.349373877288823,6
2,BY,1,11,7,52.577014000000005,30.504958,1
2,BY,1,11,11,52.308996957345435,31.19744732869843,34
2,BY,1,11,15,52.08078532405465,30.393978632074855,9
2,BY,2,3,12,53.43888421377794,27.483726008861197,30
2,BY,2,9,4,53.22715811883461,28.68353288471054,8
2,BY,2,10,6,54.116913638566054,28.24831203956243,33
2,BY,2,10,13,54.60171256906919,27.915189621180115,9
2,BY,3,2,1,52.23329499999999,28.419575,1
2,BY,3,2,5,52.18243495372911,27.45779136541673,39
2,BY,3,2,9,52.14818309853893,26.197187623364737,9
2,BY,3,3,12,52.99138918084827,27.193602946418856,6
2,BY,3,5,1,52.21802337329342,28.54041349927566,2
2,BY,4,3,2,53.612217,26.177462,1
2,BY,4,3,12,53.483861308256195,26.452077627032196,8
2,BY,4,4,2,54.33891639592719,26.148338537430632,43
2,BY,4,4,13,54.76681903284197,26.859053863858993,6
2,BY,4,8,2,53.735047175206276,25.537754972920805,6
2,BY,5,6,0,55.22962283988647,29.978467981604062,48
2,BY,5,6,10,54.61477336218532,30.433859861577506,25
2,BY,5,10,6,54.53980917811607,29.102380862898084,7
2,BY,6,1,3,53.66541018598088,31.569241605437263,22
2,BY,6,1,7,53.15453404380015,30.520904633242957,10
2,BY,6,1,17,53.756657881076976,30.36894268257229,36
2,BY,6,9,4,53.032401896430954,29.466872681810518,29
2,BY,6,9,7,52.97676684599562,30.031344700436303,7
2,BY,6,11,7,52.81433838413336,30.68139673944186,11
2,BY,7,0,0,55.277010617349646,29.071183847777593,17
2,BY,7,0,8,55.73707818124653,28.525512127594983,73
2,BY,7,0,13,55.15232350595492,27.720916766402024,6
2,BY,7,4,13,55.13947165969954,27.110629981416928,3
2,BY,7,10,13,54.78716378287662,28.42854186458308,6
